508708045426139136	Positive
508707898680037376	Positive
508707855684222977	Positive
508707747399880705	Positive
508707620870320128	Positive
508707611537985536	Positive
508707562045198336	Positive
508707536099225600	Positive
508707110302285824	Positive
508706761079934976	Positive
508706747327217665	Positive
508706738120323072	Positive
508706041593204736	Positive
508705893756579840	Positive
508705892984819712	Positive
508705892225658880	Positive
508705768921903104	Positive
508705709421101056	Positive
508705291060269056	Positive
508705272009740289	Positive
508707704567648256	Negative
508707608237457409	Negative
508707557079130112	Negative
508707522203488256	Negative
508707516511825920	Negative
508707507091431425	Negative
508707390795960321	Negative
508707348433473536	Negative
508707274882183168	Negative
508707248982351872	Negative
508707237540286464	Negative
508707234793410560	Negative
508707219517755392	Negative
508707209669115905	Negative
508707129897656320	Negative
508707126584176641	Negative
508707081751252992	Negative
508706986070781952	Negative
508706963786444801	Negative
508706865128017922	Negative
508707944997736448	Neutral
508707838563082240	Neutral
508707823438405632	Neutral
508707754433720320	Neutral
508707687123537921	Neutral
508707570777747456	Neutral
508707542763978752	Neutral
508707500548304898	Neutral
508707473864159232	Neutral
508707460538830848	Neutral
508707263209414656	Neutral
508707070871236608	Neutral
508706449334104065	Neutral
508706330995994625	Neutral
508706283642290176	Neutral
508706084102496256	Neutral
508705999130066944	Neutral
508705986295508992	Neutral
508705917123055617	Neutral
508705852761440256	Neutral
